sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/normal_mixing/00,BALANCE_INFORMATION_REMOVED,0.003824600004008971,0.0035007999977096915,0.00383960000181105,8.200004231184721e-06,0.003832800008240156,20587229,2
controlled-v1/normal_mixing/00,FULL_INTERVAL,0.0035069999867118895,0.0033832000044640154,0.003751099997316487,8.200004231184721e-06,0.0035151999909430742,24963,2
controlled-v1/normal_mixing/00,BOUNDED_REACHABILITY,9.380000119563192e-05,8.929999603424221e-05,0.00011470000026747584,8.200004231184721e-06,0.00010200000542681664,8129,0
controlled-v1/normal_mixing/00,POISON,9.459999273531139e-05,9.380000119563192e-05,0.00010470001143403351,8.200004231184721e-06,0.00010279999696649611,9001,0
controlled-v1/normal_mixing/00,HAIRCUT,0.000145500001963228,0.0001390999968862161,0.0002442999975755811,8.200004231184721e-06,0.0001537000061944127,16841,0
controlled-v1/normal_mixing/00,NO_CROSS_TARGET_COUPLING,0.00331729999743402,0.003255499992519617,0.0037081999907968566,8.200004231184721e-06,0.0033255000016652048,30672,2
controlled-v1/normal_mixing/00,NO_PROTOCOL_CONTINUATION,0.0034945999941555783,0.0033578000002307817,0.004198999988147989,8.200004231184721e-06,0.003502799998386763,24949,2
