record_type,sample_id,kind,method,artifact,passed,path,differences_count,kind_of_difference,baseline,revision
METHOD_PAIR,controlled-v1/canonical_weth_1to1/05,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/06,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/07,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
